family,gene,n_species,human_len_bp,n_diag_platypus,n_diag_opossum,n_auto_platypus,n_auto_opossum,n_diag_deep_sum,aa_frac_platypus,indel_frac_platypus,indel_frac_deep_max,n_diag_divergent_mean,nearest_primate,n_diag_nearest_primate,grad_ratio,has_platypus,has_opossum,has_elephant,has_armadillo,ndiag_chimp,ndiag_mouse,ndiag_cow,ndiag_armadillo,ndiag_elephant,ndiag_opossum,ndiag_platypus,ladder,composite,rank,selected
cytochrome_p450,CYP1B1,21,1632,459,411,224,137,870,0.7058823529411765,0.05147058823529416,0.05147058823529416,262.8666666666667,chimp,12,0.026143790849673203,True,True,False,False,12.0,298.0,242.0,,,411,459,chimp(8):12;gorilla(11):21;orangutan(21):10;macaque(42):68;marmoset(64):94;guineapig(156):256;rat(156):293;mouse(156):298;rabbit(156):235;cow(169):242;sheep(169):232;pig(169):236;goat(169):229;dog(169):209;ferret(169):204;panda(169):221;cat(169):220;horse(169):198;opossum(319):411;platypus(378):459,1.0241735846543776,51,False
matrix_metalloproteinase,MMP25,16,1689,494,479,165,182,973,0.6477732793522267,0.007104795737122527,0.03374777975133214,311.3333333333333,orangutan,34,0.06882591093117409,True,True,False,False,,366.0,250.0,,,479,494,orangutan(21):34;macaque(42):72;marmoset(64):132;guineapig(156):276;rat(156):371;mouse(156):366;cow(169):250;sheep(169):241;pig(169):262;goat(169):249;dog(169):265;cat(169):261;horse(169):222;opossum(319):479;platypus(378):494,1.0146346945416562,52,False
rab_gtpase,RAB9B,18,606,93,95,38,34,188,0.16129032258064516,0.004950495049504955,0.004950495049504955,45.53846153846154,chimp,1,0.010752688172043012,True,True,True,True,1.0,48.0,36.0,31.0,33.0,95,93,chimp(8):1;gorilla(11):2;orangutan(21):4;marmoset(64):10;rat(156):51;mouse(156):48;cow(169):36;sheep(169):40;pig(169):33;goat(169):41;bat(169):36;ferret(169):28;panda(169):27;armadillo(180):31;elephant(183):33;opossum(319):95;platypus(378):93,1.0088158755165755,53,True
cytochrome_p450,CYP21A2,16,1488,468,530,193,201,998,0.7670940170940171,0.06854838709677424,0.06854838709677424,290.6923076923077,macaque,48,0.10256410256410256,True,True,False,True,,328.0,,273.0,,530,468,macaque(42):48;marmoset(64):93;guineapig(156):123;rat(156):339;mouse(156):328;rabbit(156):237;sheep(169):244;pig(169):240;dog(169):258;panda(169):248;cat(169):255;horse(169):236;armadillo(180):273;opossum(319):530;platypus(378):468,0.9844012375058802,54,False
aldo_keto_reductase,AKR1A1,19,978,211,200,70,58,411,0.4075829383886256,0.0030674846625766694,0.006134969325153339,123.84615384615384,chimp,3,0.014218009478672985,True,True,False,True,3.0,119.0,93.0,111.0,,200,211,chimp(8):3;gorilla(11):6;orangutan(21):11;macaque(42):16;marmoset(64):31;guineapig(156):115;rat(156):121;mouse(156):119;cow(169):93;sheep(169):94;pig(169):141;goat(169):95;bat(169):92;panda(169):101;cat(169):117;armadillo(180):111;opossum(319):200;platypus(378):211,0.9832907486127017,55,False
adamts_metallopeptidase,ADAMTS13,19,4116,1122,976,417,378,2098,0.7183600713012478,0.08090379008746351,0.32580174927113703,786.9285714285714,chimp,42,0.0374331550802139,True,True,False,False,42.0,937.0,796.0,,,976,1122,chimp(8):42;orangutan(21):115;macaque(42):166;marmoset(64):266;guineapig(156):940;rat(156):953;mouse(156):937;rabbit(156):231;cow(169):796;sheep(169):806;pig(169):707;goat(169):783;dog(169):709;ferret(169):766;cat(169):681;horse(169):610;opossum(319):976;platypus(378):1122,0.9369782142954268,56,False
carbonic_anhydrase,CA11,17,987,187,198,84,71,385,0.4117647058823529,0.003039513677811523,0.003039513677811523,96.53846153846153,chimp,2,0.0106951871657754,True,True,True,False,2.0,96.0,89.0,,67.0,198,187,chimp(8):2;macaque(42):38;marmoset(64):42;guineapig(156):87;rat(156):91;mouse(156):96;cow(169):89;sheep(169):83;pig(169):75;goat(169):79;ferret(169):69;panda(169):63;horse(169):71;elephant(183):67;opossum(319):198;platypus(378):187,0.9289752006905749,57,False
cxc_chemokine_receptor,CXCR5,19,1119,318,316,144,118,634,0.7861635220125787,0.01608579088471851,0.01608579088471851,178.76923076923077,chimp,2,0.006289308176100629,True,True,False,False,2.0,207.0,145.0,,,316,318,chimp(8):2;gorilla(11):7;orangutan(21):17;macaque(42):29;marmoset(64):76;guineapig(156):135;rat(156):210;mouse(156):207;cow(169):145;sheep(169):150;pig(169):119;goat(169):148;dog(169):140;ferret(169):154;panda(169):135;cat(169):147;opossum(319):316;platypus(378):318,0.9270668441348564,58,False
hox,HOXA5,23,813,123,119,29,23,242,0.4634146341463415,0.0073800738007380184,0.0073800738007380184,45.611111111111114,gorilla,6,0.04878048780487805,True,True,True,True,,44.0,96.0,24.0,28.0,119,123,gorilla(11):6;orangutan(21):7;macaque(42):10;marmoset(64):17;guineapig(156):30;rat(156):135;mouse(156):44;rabbit(156):29;cow(169):96;sheep(169):22;pig(169):21;goat(169):22;bat(169):23;dog(169):23;ferret(169):21;panda(169):22;cat(169):19;horse(169):20;armadillo(180):24;elephant(183):28;opossum(319):119;platypus(378):123,0.9209576407616613,59,False
arf_gtpase,ARF6,22,528,42,40,10,15,82,0.0,0.005681818181818232,0.005681818181818232,20.176470588235293,chimp,0,0.0,True,True,True,True,0.0,21.0,13.0,22.0,17.0,40,42,chimp(8):0;gorilla(11):2;orangutan(21):0;marmoset(64):8;guineapig(156):17;rat(156):18;mouse(156):21;rabbit(156):17;cow(169):13;sheep(169):13;pig(169):17;bat(169):23;dog(169):13;ferret(169):14;panda(169):13;cat(169):13;horse(169):30;armadillo(180):22;elephant(183):17;opossum(319):40;platypus(378):42,0.9074422947215199,60,False
adamts_metallopeptidase,ADAMTS5,20,2793,614,640,281,282,1254,0.47068403908794787,0.20622986036519875,0.20622986036519875,375.57142857142856,chimp,9,0.014657980456026058,True,True,True,False,9.0,383.0,344.0,,333.0,640,614,chimp(8):9;gorilla(11):17;orangutan(21):33;macaque(42):82;marmoset(64):148;guineapig(156):370;rat(156):388;mouse(156):383;cow(169):344;sheep(169):351;pig(169):296;goat(169):355;dog(169):301;ferret(169):300;cat(169):317;horse(169):266;elephant(183):333;opossum(319):640;platypus(378):614,0.9073233568179571,61,False
p2y_receptor,P2RY12,15,1029,236,233,79,69,469,0.4322033898305085,0.002915451895043719,0.002915451895043719,145.0909090909091,orangutan,8,0.03389830508474576,True,True,False,True,,179.0,115.0,122.0,,233,236,orangutan(21):8;macaque(42):21;marmoset(64):47;rat(156):179;mouse(156):179;cow(169):115;sheep(169):121;pig(169):95;dog(169):93;ferret(169):99;horse(169):124;armadillo(180):122;opossum(319):233;platypus(378):236,0.9045891002099502,62,False
histone_deacetylase_classI,HDAC2,20,1467,182,161,46,39,343,0.016483516483516484,0.002044989775051076,0.002044989775051076,116.35714285714286,chimp,2,0.01098901098901099,True,True,True,False,2.0,123.0,104.0,,78.0,161,182,chimp(8):2;gorilla(11):4;orangutan(21):5;macaque(42):14;marmoset(64):40;guineapig(156):169;rat(156):201;mouse(156):123;cow(169):104;sheep(169):87;pig(169):77;goat(169):84;dog(169):80;panda(169):73;cat(169):127;horse(169):83;elephant(183):78;opossum(319):161;platypus(378):182,0.900494722662579,63,False
phosphodiesterase,PDE7A,18,1449,199,180,56,62,379,0.1507537688442211,0.0020703933747412417,0.0020703933747412417,122.57142857142857,chimp,4,0.020100502512562814,True,True,False,True,4.0,135.0,131.0,112.0,,180,199,chimp(8):4;orangutan(21):12;macaque(42):89;rat(156):196;mouse(156):135;rabbit(156):73;cow(169):131;sheep(169):114;pig(169):93;goat(169):116;bat(169):121;dog(169):74;cat(169):99;horse(169):73;armadillo(180):112;opossum(319):180;platypus(378):199,0.8670659785195445,64,False
serotonin_receptor,HTR1E,19,1098,199,196,62,54,395,0.24623115577889448,0.005464480874316946,0.005464480874316946,121.21428571428571,chimp,5,0.02512562814070352,True,True,False,True,5.0,,119.0,110.0,,196,199,chimp(8):5;gorilla(11):7;orangutan(21):15;macaque(42):34;guineapig(156):125;rabbit(156):97;cow(169):119;sheep(169):127;pig(169):100;goat(169):129;bat(169):98;dog(169):103;panda(169):102;cat(169):89;horse(169):103;armadillo(180):110;opossum(319):196;platypus(378):199,0.851500903410921,65,False
aldehyde_dehydrogenase,ALDH6A1,19,1608,335,242,166,84,577,0.2656716417910448,0.005597014925373123,0.007462686567164201,151.07692307692307,chimp,3,0.008955223880597015,True,True,False,False,3.0,150.0,207.0,,,242,335,chimp(8):3;gorilla(11):8;orangutan(21):15;macaque(42):21;marmoset(64):39;guineapig(156):138;rat(156):136;mouse(156):150;cow(169):207;sheep(169):120;pig(169):107;goat(169):117;dog(169):101;panda(169):97;cat(169):95;horse(169):119;opossum(319):242;platypus(378):335,0.8512366499902844,66,False
serotonin_receptor,HTR1B,23,1173,382,239,269,84,621,0.7696335078534031,0.12787723785166238,0.12787723785166238,135.76470588235293,chimp,4,0.010471204188481676,True,True,True,True,4.0,120.0,124.0,110.0,116.0,239,382,chimp(8):4;gorilla(11):6;orangutan(21):11;macaque(42):28;marmoset(64):45;guineapig(156):165;rat(156):119;mouse(156):120;rabbit(156):112;cow(169):124;sheep(169):118;pig(169):104;goat(169):119;bat(169):115;dog(169):99;ferret(169):87;panda(169):85;cat(169):94;armadillo(180):110;elephant(183):116;opossum(319):239;platypus(378):382,0.8473972835695043,67,False
cytochrome_p450,CYP27A1,18,1596,461,460,214,176,921,0.6811279826464208,0.03947368421052633,0.06578947368421051,303.4166666666667,chimp,16,0.03470715835140998,True,True,False,False,16.0,330.0,260.0,,,460,461,chimp(8):16;gorilla(11):26;orangutan(21):29;macaque(42):60;marmoset(64):156;rat(156):333;mouse(156):330;cow(169):260;sheep(169):257;pig(169):256;goat(169):253;dog(169):249;panda(169):245;cat(169):292;horse(169):245;opossum(319):460;platypus(378):461,0.8391507666636334,68,False
serine_protease,F10,18,1467,404,454,103,144,858,0.6683168316831684,0.049079754601227044,0.049079754601227044,327.7692307692308,gorilla,16,0.039603960396039604,True,True,False,False,,324.0,338.0,,,454,404,gorilla(11):16;orangutan(21):38;macaque(42):71;marmoset(64):144;rat(156):335;mouse(156):324;rabbit(156):295;cow(169):338;sheep(169):343;pig(169):275;goat(169):337;dog(169):298;panda(169):286;cat(169):288;horse(169):284;opossum(319):454;platypus(378):404,0.8244355196130725,69,False
ras_gtpases,RAP1B,19,555,58,48,15,10,106,0.0,0.00540540540540535,0.00540540540540535,31.785714285714285,chimp,1,0.017241379310344827,True,True,True,True,1.0,46.0,23.0,57.0,42.0,48,58,chimp(8):1;orangutan(21):3;macaque(42):6;marmoset(64):9;mouse(156):46;rabbit(156):20;cow(169):23;sheep(169):23;pig(169):20;goat(169):24;bat(169):16;dog(169):17;cat(169):22;horse(169):29;armadillo(180):57;elephant(183):42;opossum(319):48;platypus(378):58,0.7475066059902783,70,False
serotonin_receptor,HTR2B,20,1446,344,316,118,108,660,0.45930232558139533,0.004149377593360981,0.022821576763485507,174.66666666666666,chimp,10,0.029069767441860465,True,True,False,False,10.0,223.0,140.0,,,316,344,chimp(8):10;orangutan(21):11;macaque(42):34;marmoset(64):45;guineapig(156):166;rat(156):225;mouse(156):223;rabbit(156):142;cow(169):140;sheep(169):153;pig(169):121;goat(169):151;bat(169):125;dog(169):148;panda(169):127;cat(169):120;horse(169):119;opossum(319):316;platypus(378):344,0.7423360943741241,71,False
muscarinic_receptor,CHRM4,23,1440,238,199,87,48,437,0.4327731092436975,0.022916666666666696,0.09999999999999998,133.64705882352942,chimp,3,0.012605042016806723,True,True,True,True,3.0,148.0,122.0,121.0,140.0,199,238,chimp(8):3;gorilla(11):8;orangutan(21):18;macaque(42):40;marmoset(64):70;guineapig(156):139;rat(156):151;mouse(156):148;rabbit(156):114;cow(169):122;sheep(169):117;pig(169):114;goat(169):113;bat(169):117;dog(169):108;panda(169):107;cat(169):111;horse(169):113;armadillo(180):121;elephant(183):140;opossum(319):199;platypus(378):238,0.6601062065907352,72,False
matrix_metalloproteinase,MMP23B,18,1173,269,311,83,103,580,0.6802973977695167,0.020460358056266004,0.020460358056266004,183.84615384615384,chimp,4,0.01486988847583643,True,True,False,False,4.0,232.0,199.0,,,311,269,chimp(8):4;gorilla(11):68;orangutan(21):17;macaque(42):28;guineapig(156):191;rat(156):222;mouse(156):232;cow(169):199;sheep(169):136;pig(169):108;goat(169):136;dog(169):161;ferret(169):139;panda(169):146;cat(169):140;opossum(319):311;platypus(378):269,0.6254592429920124,73,False
hox,HOXD12,19,813,186,188,74,53,374,0.6451612903225806,0.011070110701106972,0.014760147601476037,106.92857142857143,chimp,6,0.03225806451612903,True,True,True,False,6.0,113.0,91.0,,96.0,188,186,chimp(8):6;orangutan(21):10;macaque(42):24;marmoset(64):39;guineapig(156):82;rat(156):116;mouse(156):113;rabbit(156):77;cow(169):91;sheep(169):88;pig(169):89;goat(169):90;bat(169):100;dog(169):94;panda(169):87;elephant(183):96;opossum(319):188;platypus(378):186,0.619507849497475,74,False
ras_gtpases,RASL11A,21,729,188,147,61,36,335,0.6329787234042553,0.0864197530864198,0.0864197530864198,100.46666666666667,chimp,0,0.0,True,True,True,True,0.0,108.0,103.0,109.0,97.0,147,188,chimp(8):0;gorilla(11):4;orangutan(21):7;macaque(42):19;marmoset(64):31;guineapig(156):87;rat(156):102;mouse(156):108;rabbit(156):99;cow(169):103;sheep(169):100;pig(169):78;bat(169):64;dog(169):75;panda(169):66;cat(169):84;armadillo(180):109;elephant(183):97;opossum(319):147;platypus(378):188,0.6038060782143572,75,False
hox,HOXC6,21,708,129,65,84,29,194,0.2558139534883721,0.004237288135593209,0.004237288135593209,28.933333333333334,chimp,0,0.0,True,True,True,False,0.0,19.0,38.0,,15.0,65,129,chimp(8):0;gorilla(11):2;orangutan(21):1;macaque(42):6;marmoset(64):42;guineapig(156):17;rat(156):21;mouse(156):19;rabbit(156):25;cow(169):38;sheep(169):20;pig(169):13;goat(169):19;bat(169):12;dog(169):16;ferret(169):12;panda(169):13;elephant(183):15;opossum(319):65;platypus(378):129,0.5888877287118818,76,False
ras_gtpases,RASL10B,22,612,60,63,25,29,123,0.25,0.004901960784313708,0.004901960784313708,37.0,chimp,3,0.05,True,True,True,True,3.0,146.0,,24.0,20.0,63,60,chimp(8):3;gorilla(11):2;orangutan(21):5;macaque(42):14;marmoset(64):19;rat(156):35;mouse(156):146;rabbit(156):17;sheep(169):27;pig(169):28;goat(169):25;bat(169):21;dog(169):26;ferret(169):27;panda(169):26;cat(169):24;horse(169):23;armadillo(180):24;elephant(183):20;opossum(319):63;platypus(378):60,0.588659559962698,77,False
rho_gtpase,RND3,22,735,119,83,38,23,202,0.05042016806722689,0.004081632653061273,0.004081632653061273,55.9375,chimp,1,0.008403361344537815,True,True,True,False,1.0,51.0,47.0,,42.0,83,119,chimp(8):1;gorilla(11):1;orangutan(21):3;macaque(42):6;marmoset(64):13;guineapig(156):52;rat(156):56;mouse(156):51;rabbit(156):47;cow(169):47;sheep(169):44;pig(169):44;goat(169):47;bat(169):45;dog(169):77;ferret(169):48;panda(169):51;horse(169):42;elephant(183):42;opossum(319):83;platypus(378):119,0.5643377700607414,78,False
rab_gtpase,RAB29,19,612,133,96,54,30,229,0.48872180451127817,0.004901960784313708,0.004901960784313708,62.46666666666667,chimp,1,0.007518796992481203,True,True,True,False,1.0,55.0,34.0,,37.0,96,133,chimp(8):1;orangutan(21):4;marmoset(64):17;guineapig(156):48;rat(156):64;mouse(156):55;cow(169):34;sheep(169):88;pig(169):47;goat(169):36;bat(169):47;dog(169):44;ferret(169):50;panda(169):53;cat(169):105;elephant(183):37;opossum(319):96;platypus(378):133,0.559066929095195,79,False
adrenoceptor,ADRA1B,19,1563,331,306,130,107,637,0.5347432024169184,0.030710172744721653,0.03262955854126681,132.30769230769232,chimp,9,0.027190332326283987,True,True,False,False,9.0,146.0,92.0,,,306,331,chimp(8):9;gorilla(11):13;orangutan(21):11;macaque(42):22;marmoset(64):49;rat(156):143;mouse(156):146;rabbit(156):96;cow(169):92;sheep(169):87;pig(169):91;goat(169):89;dog(169):104;ferret(169):79;cat(169):71;horse(169):85;opossum(319):306;platypus(378):331,0.5523849378940104,80,False
glutathione_peroxidase,GPX8,20,630,137,147,45,43,284,0.5328467153284672,0.004761904761904745,0.004761904761904745,71.28571428571429,chimp,4,0.029197080291970802,True,True,False,True,4.0,109.0,53.0,49.0,,147,137,chimp(8):4;gorilla(11):5;orangutan(21):6;macaque(42):11;marmoset(64):17;guineapig(156):76;rat(156):102;mouse(156):109;rabbit(156):66;cow(169):53;sheep(169):51;pig(169):32;goat(169):53;panda(169):39;cat(169):43;horse(169):41;armadillo(180):49;opossum(319):147;platypus(378):137,0.5460321761416222,81,False
serine_protease,HGFAC,17,1968,547,580,225,225,1127,0.7020109689213894,0.10518292682926833,0.10518292682926833,364.0,gorilla,42,0.07678244972577697,True,True,False,False,,373.0,289.0,,,580,547,gorilla(11):42;orangutan(21):47;macaque(42):91;marmoset(64):171;guineapig(156):376;rat(156):361;mouse(156):373;cow(169):289;sheep(169):292;pig(169):329;goat(169):306;dog(169):301;ferret(169):325;horse(169):289;opossum(319):580;platypus(378):547,0.5332012322912758,82,False
arf_gtpase,ARL14,19,579,193,184,91,52,377,0.6735751295336787,0.03626943005181349,0.03626943005181349,105.92857142857143,chimp,3,0.015544041450777202,True,True,True,False,3.0,124.0,87.0,,93.0,184,193,chimp(8):3;gorilla(11):5;orangutan(21):12;macaque(42):83;guineapig(156):79;rat(156):117;mouse(156):124;rabbit(156):84;cow(169):87;sheep(169):95;pig(169):81;goat(169):96;bat(169):112;dog(169):69;panda(169):69;elephant(183):93;opossum(319):184;platypus(378):193,0.5164289908242756,83,False
aldo_keto_reductase,AKR1D1,16,981,336,247,175,97,583,0.6488095238095238,0.003058103975535187,0.030581039755351647,148.54545454545453,chimp,3,0.008928571428571428,True,True,False,False,3.0,165.0,116.0,,,247,336,chimp(8):3;orangutan(21):11;macaque(42):23;marmoset(64):46;rat(156):156;mouse(156):165;cow(169):116;sheep(169):108;pig(169):115;goat(169):105;ferret(169):96;cat(169):96;horse(169):94;opossum(319):247;platypus(378):336,0.5129760152585331,84,False
rab_gtpase,RAB3A,20,663,83,86,15,22,169,0.07228915662650602,0.004524886877828038,0.004524886877828038,57.785714285714285,chimp,0,0.0,True,True,False,True,0.0,71.0,,34.0,,86,83,chimp(8):0;gorilla(11):2;orangutan(21):7;macaque(42):13;marmoset(64):83;guineapig(156):63;rat(156):76;mouse(156):71;sheep(169):54;pig(169):46;goat(169):53;dog(169):47;ferret(169):57;panda(169):48;cat(169):47;horse(169):44;armadillo(180):34;opossum(319):86;platypus(378):83,0.4913231201037869,85,False
hox,HOXB2,23,1071,267,249,133,96,516,0.6179775280898876,0.07282913165266103,0.07282913165266103,139.76470588235293,chimp,7,0.026217228464419477,True,True,True,False,7.0,173.0,108.0,,119.0,249,267,chimp(8):7;gorilla(11):8;orangutan(21):21;macaque(42):43;marmoset(64):64;guineapig(156):154;rat(156):179;mouse(156):173;rabbit(156):130;cow(169):108;sheep(169):112;pig(169):117;goat(169):106;bat(169):136;dog(169):108;ferret(169):109;panda(169):105;cat(169):107;horse(169):97;elephant(183):119;opossum(319):249;platypus(378):267,0.4662284228673191,86,False
arf_gtpase,ARL2,20,555,61,74,10,18,135,0.19672131147540983,0.00540540540540535,0.00540540540540535,60.6,chimp,4,0.06557377049180328,True,True,True,True,4.0,51.0,33.0,36.0,32.0,74,61,chimp(8):4;gorilla(11):4;orangutan(21):6;macaque(42):11;guineapig(156):68;rat(156):83;mouse(156):51;rabbit(156):177;cow(169):33;sheep(169):114;pig(169):36;goat(169):38;ferret(169):38;panda(169):37;horse(169):31;armadillo(180):36;elephant(183):32;opossum(319):74;platypus(378):61,0.4268966983244807,87,False
serine_protease,PRSS8,19,1032,304,297,101,103,601,0.6875,0.046511627906976716,0.046511627906976716,201.85714285714286,chimp,25,0.08223684210526316,True,True,False,True,25.0,206.0,206.0,179.0,,297,304,chimp(8):25;gorilla(11):30;orangutan(21):25;marmoset(64):74;guineapig(156):204;rat(156):219;mouse(156):206;rabbit(156):170;cow(169):206;sheep(169):202;pig(169):197;goat(169):204;dog(169):147;panda(169):151;cat(169):140;armadillo(180):179;opossum(319):297;platypus(378):304,0.41895242084233697,88,False
rab_gtpase,RAB3D,19,660,145,139,44,36,284,0.4206896551724138,0.004545454545454519,0.004545454545454519,87.07142857142857,chimp,6,0.041379310344827586,True,True,True,False,6.0,84.0,107.0,,72.0,139,145,chimp(8):6;orangutan(21):13;macaque(42):18;marmoset(64):33;guineapig(156):86;rat(156):83;mouse(156):84;cow(169):107;pig(169):64;goat(169):63;dog(169):73;ferret(169):65;panda(169):62;cat(169):108;horse(169):68;elephant(183):72;opossum(319):139;platypus(378):145,0.4156481979091809,89,False
rho_gtpase,RHOG,21,576,78,97,26,26,175,0.3076923076923077,0.00520833333333337,0.00520833333333337,46.13333333333333,chimp,1,0.01282051282051282,True,True,True,False,1.0,52.0,40.0,,40.0,97,78,chimp(8):1;gorilla(11):2;orangutan(21):4;macaque(42):11;marmoset(64):21;guineapig(156):39;mouse(156):52;rabbit(156):35;cow(169):40;sheep(169):38;goat(169):38;bat(169):33;dog(169):37;ferret(169):39;panda(169):46;cat(169):38;horse(169):42;elephant(183):40;opossum(319):97;platypus(378):78,0.412314286480437,90,False
glutaredoxin,GLRX3,16,1008,269,227,102,62,496,0.4721189591078067,0.005952380952380931,0.014880952380952328,137.33333333333334,chimp,5,0.01858736059479554,True,True,False,False,5.0,126.0,97.0,,,227,269,chimp(8):5;orangutan(21):3;macaque(42):12;rat(156):93;mouse(156):126;cow(169):97;sheep(169):146;pig(169):189;goat(169):107;dog(169):105;ferret(169):82;cat(169):115;horse(169):92;opossum(319):227;platypus(378):269,0.37851273031501764,91,False
ras_gtpases,NKIRAS1,19,579,89,125,27,50,214,0.24719101123595505,0.005181347150259086,0.015544041450777257,89.0,chimp,1,0.011235955056179775,True,True,False,True,1.0,76.0,101.0,35.0,,125,89,chimp(8):1;gorilla(11):2;orangutan(21):4;macaque(42):19;marmoset(64):15;rat(156):93;mouse(156):76;cow(169):101;sheep(169):101;pig(169):60;goat(169):100;dog(169):92;panda(169):102;cat(169):92;horse(169):91;armadillo(180):35;opossum(319):125;platypus(378):89,0.3573906422099955,92,False
sulfotransferase,SULT1B1,17,891,255,244,96,88,499,0.6509803921568628,0.010101010101010055,0.010101010101010055,147.25,chimp,8,0.03137254901960784,True,True,False,False,8.0,175.0,117.0,,,244,255,chimp(8):8;orangutan(21):12;macaque(42):29;marmoset(64):61;rat(156):183;mouse(156):175;cow(169):117;sheep(169):116;pig(169):119;goat(169):118;dog(169):115;panda(169):108;cat(169):114;horse(169):103;opossum(319):244;platypus(378):255,0.35726211082329523,93,False
rab_gtpase,RAB11A,17,651,129,67,64,25,196,0.0,0.004608294930875556,0.004608294930875556,40.333333333333336,chimp,2,0.015503875968992248,True,True,True,False,2.0,27.0,,,32.0,67,129,chimp(8):2;orangutan(21):3;macaque(42):11;marmoset(64):11;guineapig(156):33;rat(156):33;mouse(156):27;pig(169):21;goat(169):26;dog(169):24;ferret(169):29;panda(169):29;cat(169):34;elephant(183):32;opossum(319):67;platypus(378):129,0.35057496533838206,94,False
arf_gtpase,ARF5,18,543,64,67,23,22,131,0.0625,0.0055248618784530246,0.0055248618784530246,36.083333333333336,chimp,0,0.0,True,True,True,False,0.0,31.0,,,26.0,67,64,chimp(8):0;gorilla(11):0;orangutan(21):2;macaque(42):4;marmoset(64):14;guineapig(156):46;mouse(156):31;rabbit(156):41;pig(169):25;goat(169):22;bat(169):32;dog(169):27;ferret(169):30;panda(169):22;elephant(183):26;opossum(319):67;platypus(378):64,0.32392702606375673,95,False
glutathione_s_transferase,GSTZ1,20,651,148,155,33,35,303,0.49324324324324326,0.004608294930875556,0.004608294930875556,105.64285714285714,chimp,9,0.060810810810810814,True,True,False,True,9.0,103.0,,81.0,,155,148,chimp(8):9;gorilla(11):11;orangutan(21):51;macaque(42):108;marmoset(64):187;rat(156):99;mouse(156):103;rabbit(156):75;sheep(169):155;pig(169):116;bat(169):80;dog(169):91;ferret(169):93;panda(169):83;cat(169):109;horse(169):91;armadillo(180):81;opossum(319):155;platypus(378):148,0.32144884866701534,96,False
m14_carboxypeptidase,CPE,17,1431,260,205,101,66,465,0.3576923076923077,0.002096436058700246,0.0062893081761006275,163.75,chimp,8,0.03076923076923077,True,True,False,False,8.0,162.0,140.0,,,205,260,chimp(8):8;orangutan(21):13;macaque(42):24;marmoset(64):40;guineapig(156):139;rat(156):159;mouse(156):162;cow(169):140;sheep(169):135;pig(169):152;goat(169):132;dog(169):289;cat(169):98;horse(169):94;opossum(319):205;platypus(378):260,0.3153421443043401,97,False
hox,HOXB7,20,654,111,101,49,37,212,0.5135135135135135,0.00917431192660545,0.00917431192660545,57.857142857142854,chimp,3,0.02702702702702703,True,True,True,False,3.0,43.0,36.0,,34.0,101,111,chimp(8):3;gorilla(11):6;orangutan(21):12;macaque(42):14;marmoset(64):19;rat(156):49;mouse(156):43;cow(169):36;sheep(169):35;pig(169):35;goat(169):35;dog(169):31;ferret(169):32;panda(169):32;cat(169):68;horse(169):168;elephant(183):34;opossum(319):101;platypus(378):111,0.3150900482326023,98,False
ectonucleotide_pyrophosphatase,ENPP7,19,1377,342,335,126,113,677,0.695906432748538,0.04575163398692805,0.04575163398692805,248.23076923076923,chimp,17,0.049707602339181284,True,True,False,False,17.0,251.0,232.0,,,335,342,chimp(8):17;gorilla(11):18;orangutan(21):37;macaque(42):62;marmoset(64):112;rat(156):231;mouse(156):251;rabbit(156):266;cow(169):232;sheep(169):201;pig(169):222;goat(169):238;dog(169):250;panda(169):306;cat(169):163;horse(169):190;opossum(319):335;platypus(378):342,0.3058393355003206,99,False
serotonin_receptor,HTR1F,17,1101,195,183,64,66,378,0.3128205128205128,0.0027247956403270157,0.0027247956403270157,108.07142857142857,chimp,2,0.010256410256410256,True,True,False,False,2.0,133.0,95.0,,,183,195,chimp(8):2;gorilla(11):7;rat(156):142;mouse(156):133;rabbit(156):66;cow(169):95;sheep(169):91;pig(169):88;bat(169):84;dog(169):86;ferret(169):81;panda(169):97;cat(169):91;horse(169):81;opossum(319):183;platypus(378):195,0.30076080618084683,100,False
olfactory_receptors,OR4E2,18,942,258,202,85,64,460,0.5852713178294574,0.006369426751592355,0.006369426751592355,132.84615384615384,chimp,9,0.03488372093023256,True,True,False,False,9.0,127.0,100.0,,,202,258,chimp(8):9;gorilla(11):9;orangutan(21):22;macaque(42):17;guineapig(156):121;rat(156):126;mouse(156):127;rabbit(156):117;cow(169):100;sheep(169):104;pig(169):100;goat(169):102;dog(169):157;ferret(169):124;horse(169):89;opossum(319):202;platypus(378):258,0.29015652007342196,101,False
hox,HOXA1,22,1008,156,158,31,44,314,0.4358974358974359,0.011904761904761862,0.011904761904761862,87.76470588235294,gorilla,10,0.0641025641025641,True,True,False,True,,102.0,79.0,89.0,,158,156,gorilla(11):10;orangutan(21):14;macaque(42):21;marmoset(64):31;guineapig(156):88;rat(156):104;mouse(156):102;rabbit(156):79;cow(169):79;sheep(169):75;pig(169):70;goat(169):76;bat(169):73;dog(169):75;ferret(169):69;panda(169):74;cat(169):59;horse(169):66;armadillo(180):89;opossum(319):158;platypus(378):156,0.2862661402732361,102,False
