gene,status,fr_status,yn_status,n_taxa,n_codons,yn_n_pairs,dN_hp_yn,dS_hp_yn,omega_hp_yn,dN_background_yn,dS_background_yn,omega_background_yn,yn_n_background_pairs,lnL_m0,np_m0,omega_m0,kappa_m0,tree_len_m0,tree_dN_m0,tree_dS_m0,dN_human_m0,dS_human_m0,omega_human_m0,dN_platypus_m0,dS_platypus_m0,omega_platypus_m0,dN_background_m0,dS_background_m0,omega_background_m0,n_branches_m0,lnL_m2,np_m2,tree_dN_m2,tree_dS_m2,omega_bg_m2,omega_plat_m2,dN_human_m2,dS_human_m2,omega_human_m2,dN_platypus_m2,dS_platypus_m2,omega_platypus_m2,dN_background_m2,dS_background_m2,omega_background_m2,n_branches_m2,lrt_m2_vs_m0,lrt_p_m2_vs_m0,m2_converged,dS_saturated
ENSG00000100412,ok,not_requested,ok,23,780,253.0,0.032,1.7442,0.0184,0.028025238095238096,0.6309652380952381,0.0286,210.0,-14108.647432,46,0.05269,2.84375,4.108033,0.2867,5.442,0.0005,0.0099,0.0527,0.0092,0.1742,0.0527,0.2771,5.2581999999999995,0.052698642120877874,44,-14108.647436,47.0,0.2867,5.442,0.05269,0.91883,0.0005,0.0099,0.0527,0.0,0.0,0.9188,0.2863,5.4324,0.052702304690376255,44.0,-7.99999907030724e-06,1.0,True,False
ENSG00000100522,ok,not_requested,ok,23,183,253.0,0.0675,1.2075,0.0559,0.0449,0.3236009523809524,0.03215,210.0,-2962.425504,46,0.09587,2.38781,4.421443,0.4577,4.7739,0.0,0.0,0.0959,0.0257,0.2682,0.0959,0.4322,4.506,0.09591655570350642,44,-2958.74443,47.0,0.4535,4.829,0.10766,0.0001,0.0,0.0,0.1077,0.0001,0.6176,0.0001,0.4532,4.2114,0.10761267037089803,44.0,7.362147999999252,0.006661116898876957,True,False
ENSG00000100554,ok,not_requested,ok,21,225,210.0,0.0045,1.2526,0.0036,0.08623801169590643,0.34284619883040934,0.03195,171.0,-3530.519309,42,0.07131,2.39555,8.884727,0.664,9.3122,0.0,0.0,0.0713,0.0231,0.3244,0.0713,0.6411,8.9879,0.07132923152238009,40,-3520.048715,43.0,0.6579,7.945,0.09367,0.0199,0.0,0.0,0.0937,0.0233,1.1693,0.0199,0.6345,6.775399999999999,0.09364760752132716,40.0,20.941187999999784,4.736013351879985e-06,True,False
ENSG00000100629,timeout(3600s),not_requested,ok,24,1093,276.0,0.2508,0.7213,0.3477,0.10211428571428571,0.37603896103896106,0.2448,231.0,-26195.727162,48,0.26744,2.13619,5.628245,1.1096,4.149,0.002,0.0074,0.2674,0.0368,0.1377,0.2674,1.0708,4.0042,0.2674192098296788,46,,,,,,,,,,,,,,,,,,,,
ENSG00000101161,ok,not_requested,ok,23,940,253.0,0.0124,1.0492,0.0118,0.01273,0.5783095238095238,0.020749999999999998,210.0,-16427.760466,46,0.03218,2.7568,4.207154,0.1703,5.2923,0.0004,0.0122,0.0322,0.0025,0.0792,0.0322,0.1673,5.2006,0.03216936507326078,44,-16407.765125,47.0,0.1702,5.3226,0.03511,0.0001,0.0004,0.0121,0.0351,0.0,0.4783,0.0001,0.1698,4.8319,0.03514145574204764,44.0,39.99068199999601,2.551772275614354e-10,True,False
ENSG00000101189,ok,not_requested,ok,21,200,210.0,0.0826,1.2911,0.064,0.1569654970760234,0.7407713450292398,0.0696,171.0,-4980.239942,42,0.12691,1.69338,9.135149,1.2534,9.8761,0.0014,0.0113,0.1269,0.0275,0.2164,0.1269,1.2243,9.6483,0.1268928204968751,40,-4980.239942,43.0,1.2534,9.8761,0.12691,0.65859,0.0014,0.0113,0.1269,0.0,0.0,0.6586,1.2518,9.864700000000001,0.12689691526351535,40.0,0.0,1.0,True,False
ENSG00000101190,ok,not_requested,ok,24,479,276.0,0.1151,1.2974,0.0887,0.07367575757575758,0.6504632034632034,0.1408,231.0,-10043.126812,48,0.14747,2.21767,6.788416,0.8969,6.0818,0.0011,0.0078,0.1475,0.0006,0.004,0.1475,0.895,6.0704,0.1474367422245651,46,-10042.917543,49.0,0.8963,6.0868,0.14599,15.7198,0.0011,0.0078,0.146,0.0078,0.0005,15.7198,0.8872,6.0786,0.14595466061264106,46.0,0.4185380000017176,0.5176674567290496,True,False
ENSG00000101447,ok,not_requested,ok,21,580,210.0,0.2273,1.2171,0.1868,0.11140584795321637,0.6993695906432749,0.1664,171.0,-13820.331708,42,0.20809,2.93074,5.63194,0.9687,4.6551,0.0019,0.009,0.2081,0.0156,0.0752,0.2081,0.9512,4.571,0.20809450886020567,40,-13820.331708,43.0,0.9687,4.6551,0.20809,1.78856,0.0019,0.009,0.2081,0.0,0.0,1.7886,0.9669,4.6462,0.20810554862037792,40.0,0.0,1.0,True,False
ENSG00000101557,ok,not_requested,ok,23,493,253.0,0.0453,0.6561,0.069,0.02945047619047619,0.3565395238095238,0.03585,210.0,-7479.141436,46,0.08416,2.09663,2.975513,0.2775,3.2972,0.0006,0.0071,0.0842,0.0124,0.1478,0.0842,0.2647,3.1422,0.08424034116224302,44,-7476.438358,47.0,0.2774,3.306,0.08868,0.0001,0.0006,0.007,0.0887,0.0,0.1778,0.0001,0.2769,3.1212,0.08871587850826605,44.0,5.4061559999991005,0.020065855044643248,True,False
ENSG00000101986,ok,not_requested,ok,24,732,276.0,0.0786,4.1334,0.019,0.04241082251082251,0.8602363636363637,0.0481,231.0,-15190.688527,48,0.05347,4.44639,5.827652,0.414,7.7435,0.0004,0.0078,0.0535,0.0039,0.0723,0.0535,0.4099,7.6634,0.05348800793381527,46,-15189.69296,49.0,0.4143,7.8253,0.0544,0.0001,0.0004,0.0078,0.0544,0.0,0.2108,0.0001,0.4139,7.6067,0.05441255735075657,46.0,1.9911339999998745,0.15822236018282437,True,False
ENSG00000102098,ok,not_requested,ok,22,694,231.0,0.2672,0.9302,0.2873,0.17549894736842106,0.4120894736842105,0.41775,190.0,-17165.690812,44,0.37638,2.47263,6.72931,1.5742,4.1825,0.0007,0.0018,0.3764,0.0661,0.1756,0.3764,1.5075,4.0052,0.37638569859183063,42,-17124.268513,45.0,1.5766,4.2603,0.42254,0.1105,0.0007,0.0017,0.4225,0.0792,0.7164,0.1105,1.4967,3.5421,0.42254594731938677,42.0,82.84459800000332,8.876449997614201e-20,True,False
ENSG00000103194,ok,not_requested,ok,22,794,231.0,0.1194,0.7426,0.1608,0.10044947368421053,0.6258015789473684,0.17935,190.0,-18982.180198,44,0.18464,3.01306,5.820988,0.8585,4.6496,0.0025,0.0133,0.1846,0.0419,0.2268,0.1846,0.8144,4.4094999999999995,0.18469214196620934,42,-18980.028149,45.0,0.8575,4.6687,0.18909,0.0001,0.0025,0.0132,0.1891,0.0,0.1339,0.0001,0.855,4.5215,0.18909653875926133,42.0,4.304097999993246,0.03802065254899263,True,False
ENSG00000103266,ok,not_requested,ok,23,303,253.0,0.0475,2.4944,0.019,0.018155238095238096,1.0465047619047618,0.012799999999999999,210.0,-4691.04878,46,0.02118,4.56624,4.468376,0.1583,7.4745,0.0001,0.0063,0.0212,0.0043,0.2019,0.0212,0.1537,7.2661,0.021153025694664263,44,-4689.773419,47.0,0.1588,7.6408,0.0224,0.0001,0.0001,0.0063,0.0224,0.0001,0.5542,0.0001,0.1584,7.0805,0.022371301461761178,44.0,2.5507219999999506,0.11024386545033543,True,False
ENSG00000103460,ok,not_requested,ok,22,570,231.0,0.0689,0.7369,0.0936,0.0425721052631579,0.3868184210526316,0.0944,190.0,-10078.06222,44,0.10536,2.29618,4.140658,0.4058,3.8515,0.0002,0.0017,0.1054,0.0119,0.1126,0.1054,0.3935,3.7371,0.10529555002542079,42,-10078.062221,45.0,0.4058,3.8515,0.10536,5.36543,0.0002,0.0017,0.1054,0.0,0.0,5.3654,0.4054,3.8498,0.10530417164528026,42.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000104142,ok,not_requested,ok,24,973,276.0,0.0713,1.5677,0.0455,0.02112034632034632,0.6490796536796537,0.0312,231.0,-17667.687345,48,0.03709,4.34699,5.242535,0.241,6.4967,0.0002,0.0052,0.0371,0.0025,0.0665,0.0371,0.2382,6.4252,0.037072775944717674,46,-17665.929736,49.0,0.2408,6.337,0.03571,0.04825,0.0002,0.0052,0.0357,0.0557,1.1548,0.0482,0.1849,5.1769,0.03571635534779501,46.0,3.515218000000459,0.06080765668969148,True,False
ENSG00000105058,ok,not_requested,ok,18,106,153.0,0.1331,1.5125,0.088,0.03298,0.550045,0.0,120.0,-1490.692371,36,0.02393,2.1644,7.025486,0.2691,11.243,0.0,0.0,0.0239,0.0021,0.0888,0.0239,0.2667,11.154200000000001,0.023910275949866416,34,-1490.681809,37.0,0.2694,11.6106,0.02295,272.06296,0.0,0.0,0.023,0.0029,0.0,272.063,0.2664,11.6105,0.02294474828818742,34.0,0.021124000000327214,0.8844416621197901,True,False
ENSG00000105135,ok,not_requested,ok,24,630,276.0,0.138,1.1908,0.1159,0.06676623376623377,0.5658121212121212,0.1127,231.0,-14685.461074,48,0.11764,4.25731,6.128452,0.6686,5.6833,0.0007,0.0061,0.1176,0.024,0.2038,0.1176,0.6442,5.4733,0.11769864615497048,46,-14681.13751,49.0,0.6682,5.7917,0.12196,0.0001,0.0007,0.0061,0.122,0.0,0.3131,0.0001,0.6676,5.4726,0.12198954792968607,46.0,8.64712800000052,0.0032757731056679558,True,False
ENSG00000105321,ok,not_requested,ok,22,570,231.0,0.1777,3.3511,0.053,0.055156315789473685,0.7020915789473684,0.0758,190.0,-14711.640762,44,0.16594,2.56993,8.142955,1.2186,7.3435,0.0027,0.0164,0.1659,0.0,0.0,0.1659,1.2158,7.3269,0.16593648063983404,42,-14693.060685,45.0,1.2069,36.1671,0.17568,0.00485,0.0028,0.0161,0.1757,0.146,30.1283,0.0048,1.058,6.0227,0.17566872000929815,42.0,37.16015400000106,1.088146580979549e-09,True,False
ENSG00000105538,ok,not_requested,ok,23,962,253.0,0.0548,2.1859,0.0251,0.04329,0.4201138095238095,0.033049999999999996,210.0,-18716.208774,46,0.06888,2.7277,10.40005,0.796,11.5552,0.0008,0.0118,0.0689,0.0251,0.3648,0.0689,0.7699,11.1785,0.06887328353535806,44,-18716.208775,47.0,0.796,11.5551,0.06889,0.47362,0.0008,0.0118,0.0689,0.0,0.0,0.4736,0.795,11.5433,0.0688711200436617,44.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000105639,ok,not_requested,ok,21,1100,210.0,0.2005,2.1323,0.0941,0.12523333333333334,1.0915730994152046,0.0875,171.0,-25693.527402,42,0.09743,2.86468,9.496876,1.0217,10.4869,0.0006,0.0064,0.0974,0.0,0.0,0.0974,1.021,10.4806,0.09741808675075853,40,-25693.527402,43.0,1.0217,10.4869,0.09743,0.77022,0.0006,0.0064,0.0974,0.0,0.0,0.7702,1.021,10.4806,0.09741808675075853,40.0,0.0,1.0,True,False
ENSG00000105664,ok,not_requested,ok,22,751,231.0,0.0884,3.0675,0.0288,0.04114947368421053,1.2449631578947369,0.03135,190.0,-15201.561931,44,0.05661,2.78715,5.481401,0.4331,7.6506,0.0004,0.0078,0.0566,0.0153,0.2708,0.0566,0.4173,7.3716,0.05660914862445059,42,-15201.561932,45.0,0.4331,7.6506,0.05661,0.47242,0.0004,0.0078,0.0566,0.0,0.0,0.4724,0.4326,7.6424,0.05660525489375065,42.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000105852,ok,not_requested,ok,24,354,276.0,0.2913,4.0457,0.072,0.12746320346320347,0.4406064935064935,0.3292,231.0,-10073.139319,48,0.32088,2.22674,7.152037,1.5025,4.6825,0.0006,0.0019,0.3209,0.0008,0.0024,0.3209,1.5011,4.6784,0.3208575581395349,46,-10058.142088,49.0,1.4808,36.4304,0.3439,0.00493,0.0006,0.0018,0.3439,0.1606,32.5915,0.0049,1.3195,3.8369,0.3438974171857489,46.0,29.994461999998748,4.3328198753745046e-08,True,False
ENSG00000105976,ok,not_requested,ok,24,1380,276.0,0.1465,1.3007,0.1126,0.060473593073593075,0.3578813852813853,0.1703,231.0,-28175.45016,48,0.15277,2.96881,4.628125,0.6093,3.9885,0.0012,0.0077,0.1528,0.0703,0.4603,0.1528,0.538,3.5208,0.15280618041354238,46,-28175.450162,49.0,0.6093,3.9885,0.15277,1.30627,0.0012,0.0077,0.1528,0.0,0.0,1.3063,0.6083,3.9811,0.15279696566275652,46.0,-4.0000013541430235e-06,1.0,True,False
ENSG00000105982,ok,not_requested,ok,24,347,276.0,0.2214,1.2909,0.1715,0.12773290043290042,0.582191341991342,0.2189,231.0,-10235.779825,48,0.23721,2.37164,7.662249,1.3596,5.7316,0.0018,0.0077,0.2372,0.0128,0.0538,0.2372,1.3453,5.6699,0.23727049859785884,46,-10235.779825,49.0,1.3596,5.7316,0.23721,0.0001,0.0018,0.0077,0.2372,0.0,0.0,0.0001,1.3579999999999999,5.7237,0.23725911560703739,46.0,0.0,1.0,True,False
ENSG00000106624,ok,not_requested,ok,22,1078,231.0,0.0589,3.5978,0.0164,0.03526421052631579,1.3574263157894737,0.0253,190.0,-24903.046667,44,0.08671,2.98845,6.761879,0.7499,8.6482,0.0007,0.0079,0.0867,0.0171,0.1973,0.0867,0.7322,8.4431,0.08672170174461986,42,-24895.792359,45.0,0.7512,8.8657,0.08922,0.0001,0.0007,0.0079,0.0892,0.0,0.4467,0.0001,0.7505000000000001,8.411,0.08922839139222448,42.0,14.508615999999165,0.00013951995924607673,True,False
ENSG00000107104,timeout(3600s),not_requested,ok,22,1347,231.0,0.1287,1.0164,0.1266,0.07857421052631579,0.6212015789473684,0.13385,190.0,-31289.571941,44,0.1512,2.85362,5.608863,0.7721,5.1063,0.0027,0.0178,0.1512,0.0229,0.1517,0.1512,0.7465,4.9367,0.1512143739745174,42,,,,,,,,,,,,,,,,,,,,
ENSG00000107186,ok,not_requested,ok,23,2067,253.0,0.1383,0.8867,0.156,0.0595547619047619,0.36452904761904764,0.15595,210.0,-40722.769249,46,0.17129,2.83697,4.115763,0.5869,3.4262,0.0008,0.0044,0.1713,0.0529,0.3088,0.1713,0.5333,3.113,0.17131384516543527,44,-40722.766618,47.0,0.5868,3.4271,0.17141,0.16593,0.0008,0.0044,0.1714,0.0187,0.1128,0.1659,0.5673,3.3101,0.17138455031570046,44.0,0.005261999991489574,0.9421724569838407,True,False
ENSG00000107719,ok,not_requested,ok,23,851,253.0,0.1693,1.8272,0.0926,0.17953142857142856,1.4746138095238095,0.1136,210.0,-20021.01209,46,0.14341,4.09478,6.251834,0.9642,6.7236,0.0034,0.0236,0.1434,0.0532,0.3713,0.1434,0.9074,6.3286,0.143380842524413,44,-20021.012091,47.0,0.9642,6.7236,0.14341,0.75146,0.0034,0.0236,0.1434,0.0,0.0,0.7515,0.9607,6.7,0.14338805970149254,44.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000107736,ok,not_requested,ok,21,3352,210.0,0.0973,1.7125,0.0568,0.0405046783625731,0.7303309941520468,0.0321,171.0,-53741.670481,42,0.05311,4.37267,4.229021,0.3034,5.7127,0.0009,0.0162,0.0531,0.011,0.2065,0.0531,0.2916,5.4902,0.05311281920512915,40,-53741.670482,43.0,0.3034,5.7127,0.05311,1.18157,0.0009,0.0162,0.0531,0.0,0.0,1.1816,0.3026,5.6967,0.053118472097881224,40.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000107745,ok,not_requested,ok,24,474,276.0,0.0579,0.7474,0.0775,0.037447186147186146,0.38318441558441557,0.0708,231.0,-8417.093863,48,0.11077,2.40343,3.858115,0.4097,3.6985,0.0005,0.0042,0.1108,0.0157,0.142,0.1108,0.3934,3.5524999999999998,0.11073891625615766,46,-8413.953548,49.0,0.4094,3.7212,0.11686,0.06144,0.0005,0.0042,0.1169,0.0282,0.459,0.0614,0.38079999999999997,3.2582999999999998,0.11687076082619771,46.0,6.280630000001111,0.01220646986391133,True,False
ENSG00000107771,ok,not_requested,ok,24,1046,276.0,0.2026,0.8081,0.2507,0.07755108225108225,0.3636376623376623,0.2146,231.0,-23827.498942,48,0.28243,2.7527,5.268483,1.0732,3.8001,0.001,0.0035,0.2824,0.0342,0.1213,0.2824,1.0378,3.6754,0.2823638243456495,46,-23826.113358,49.0,1.0749,3.7779,0.27753,999.0,0.001,0.0036,0.2775,0.0264,0.0,999.0,1.0473,3.7742999999999998,0.277481917176695,46.0,2.7711679999993066,0.09597610573017805,True,False
ENSG00000107833,ok,not_requested,ok,20,175,190.0,0.148,1.9625,0.0754,0.06339869281045751,0.6376209150326797,0.1016,153.0,-4078.008812,40,0.15296,2.64342,6.765863,0.9141,5.9762,0.0,0.0,0.153,0.0089,0.0583,0.153,0.9054,5.9178,0.15299604582784143,38,-4078.008812,41.0,0.9141,5.9761,0.15296,0.51855,0.0,0.0,0.153,0.0,0.0,0.5185,0.9143,5.9762,0.15299019443793713,38.0,0.0,1.0,True,False
ENSG00000107968,ok,not_requested,ok,24,467,276.0,0.0559,0.8723,0.0641,0.039333766233766235,0.6130406926406926,0.0512,231.0,-9914.763108,48,0.06522,2.14651,5.683456,0.3946,6.0496,0.0011,0.0163,0.0652,0.0061,0.0942,0.0652,0.3877,5.9392000000000005,0.06527815193965517,46,-9913.933072,49.0,0.3946,6.0713,0.06673,0.04868,0.0011,0.0163,0.0667,0.0285,0.5864,0.0487,0.3648,5.4685,0.0667093352838987,46.0,1.6600719999987632,0.19759360284495672,True,False
ENSG00000108010,ok,not_requested,ok,22,334,231.0,0.0767,1.5415,0.0498,0.025213684210526315,0.36530473684210524,0.0534,190.0,-6974.595103,44,0.14476,2.26634,5.482235,0.6933,4.7891,0.0008,0.0053,0.1448,0.0182,0.1254,0.1448,0.6746,4.6582,0.14481988751019706,42,-6974.595104,45.0,0.6933,4.7892,0.14476,1.1922,0.0008,0.0053,0.1448,0.0,0.0,1.1922,0.6927,4.7837000000000005,0.14480423103455484,42.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000108375,ok,not_requested,ok,24,780,276.0,0.231,1.1959,0.1932,0.09212077922077921,0.3564588744588745,0.233,231.0,-18393.297804,48,0.24061,3.5635,6.106925,1.0591,4.4018,0.0018,0.0076,0.2406,0.0072,0.0298,0.2406,1.0503,4.3646,0.24064060853228245,46,-18389.648032,49.0,1.0555,4.5552,0.24953,0.17354,0.0019,0.0074,0.2495,0.1855,1.0687,0.1735,0.8684,3.4793,0.24959043485758628,46.0,7.299544000001333,0.006897211292763108,True,False
ENSG00000108423,ok,not_requested,ok,24,453,276.0,0.1305,0.7217,0.1809,0.062148051948051945,0.3893978354978355,0.1661,231.0,-9188.4904,48,0.17554,2.91244,4.276674,0.6308,3.5936,0.0007,0.0038,0.1755,0.0345,0.1963,0.1755,0.5958,3.3937,0.17556059757786488,46,-9188.490401,49.0,0.6308,3.5936,0.17554,3.24446,0.0007,0.0038,0.1755,0.0,0.0,3.2445,0.6303,3.59,0.17557103064066854,46.0,-1.9999970390927047e-06,1.0,True,False
ENSG00000108599,ok,not_requested,ok,24,660,276.0,0.0622,0.5305,0.1172,0.0473965367965368,0.28205670995670995,0.1377,231.0,-12162.058733,48,0.18275,2.72236,3.691243,0.5499,3.0091,0.0019,0.0103,0.1827,0.0079,0.0433,0.1827,0.5401,2.9556,0.1827378535661118,46,-12154.285725,49.0,0.55,3.0178,0.19258,0.07831,0.002,0.0102,0.1926,0.0213,0.2724,0.0783,0.5269,2.7351,0.19264377902087676,46.0,15.546016000000236,8.052115386246854e-05,True,False
ENSG00000109576,ok,not_requested,ok,21,423,210.0,0.3378,1.0986,0.3075,0.248006432748538,0.385053216374269,0.5904,171.0,-10421.203563,42,0.28206,2.20228,6.413889,1.2685,4.4972,0.002,0.0069,0.2821,0.0025,0.0088,0.2821,1.2642,4.4813,0.2821056389886863,40,-10392.995436,43.0,1.2636,4.6584,0.31803,0.03168,0.0021,0.0065,0.318,0.0241,0.7611,0.0317,1.2376,3.8908,0.31808368458928754,40.0,56.41625399999975,5.864359154803128e-14,True,False
ENSG00000109943,ok,not_requested,ok,23,389,253.0,0.426,0.8248,0.5165,0.20049666666666666,0.592372380952381,0.2854,210.0,-12000.370642,46,0.36904,2.42807,9.071011,2.0712,5.6123,0.0042,0.0113,0.369,0.0771,0.209,0.369,1.9899,5.3917,0.36906727006324536,44,-11997.675162,47.0,2.0689,5.6947,0.37989,0.0001,0.0042,0.0111,0.3799,0.0,0.2487,0.0001,2.0647,5.4349,0.3798965942335646,44.0,5.390960000000632,0.02024133197524327,True,False
ENSG00000110756,ok,not_requested,ok,23,1117,253.0,0.2464,1.3056,0.1887,0.08598714285714286,0.34436904761904763,0.25134999999999996,210.0,-24849.835842,46,0.24,3.34548,5.207761,0.9184,3.8265,0.0019,0.008,0.24,0.0367,0.1529,0.24,0.8796,3.666,0.23993453355155483,44,-24849.835842,47.0,0.9184,3.8265,0.24,0.90547,0.0019,0.008,0.24,0.0,0.0,0.9055,0.9163,3.8189,0.23993820210008115,44.0,0.0,1.0,True,False
ENSG00000110851,ok,not_requested,ok,23,797,253.0,0.0467,1.1035,0.0423,0.025532380952380952,0.4289538095238095,0.06205000000000001,210.0,-12300.644507,46,0.06866,3.01139,3.662367,0.2555,3.7217,0.0003,0.004,0.0687,0.0104,0.1519,0.0687,0.2453,3.5659,0.06879048767492077,44,-12300.644508,47.0,0.2555,3.7217,0.06866,0.93696,0.0003,0.004,0.0687,0.0,0.0,0.937,0.2557,3.7178,0.0687772338479746,44.0,-1.9999970390927047e-06,1.0,True,False
ENSG00000111481,ok,not_requested,ok,22,174,231.0,0.0386,0.9945,0.0388,0.05291947368421052,0.19866842105263158,0.2439,190.0,-3392.312585,44,0.18629,1.87604,4.178903,0.6638,3.5633,0.0009,0.0049,0.1863,0.0352,0.189,0.1863,0.6276,3.3695,0.18625908888559134,42,-3357.203475,45.0,0.6726,4.3231,0.24123,0.01106,0.0011,0.0045,0.2412,0.0178,1.6087,0.0111,0.654,2.7097,0.24135513156437982,42.0,70.21822000000066,5.309377682118234e-17,True,False
ENSG00000111669,ok,not_requested,ok,17,286,136.0,0.0594,3.7146,0.016,0.02505142857142857,0.43172666666666665,0.0456,105.0,-4711.374559,34,0.09428,2.29442,4.390504,0.4364,4.6282,0.0018,0.0188,0.0943,0.0196,0.2083,0.0943,0.4149,4.4013,0.09426760275373185,32,-4705.537005,35.0,0.438,6.184,0.10465,0.01682,0.0019,0.0183,0.1047,0.0401,2.3817,0.0168,0.3962,3.7837,0.10471231862991252,32.0,11.675107999999454,0.0006334186366047486,True,False
ENSG00000111832,ok,not_requested,ok,16,218,120.0,0.2311,1.1251,0.2054,0.021132967032967034,0.3510747252747253,0.0559,91.0,-2799.302518,32,0.04834,2.01846,4.969171,0.2901,6.0012,0.0,0.0,0.0483,0.0235,0.4852,0.0483,0.2667,5.5161,0.04834937727742427,30,-2799.302519,33.0,0.2901,6.0013,0.04834,3.44011,0.0,0.0,0.0483,0.0,0.0,3.4401,0.2902,6.001399999999999,0.04835538374379312,30.0,-1.99999976757681e-06,1.0,True,False
ENSG00000111906,ok,not_requested,ok,24,202,276.0,0.2218,1.2375,0.1793,0.07262510822510823,0.46631688311688313,0.1671,231.0,-5267.594993,48,0.16493,1.80532,6.706306,0.9572,5.8038,0.003,0.018,0.1649,0.0497,0.3016,0.1649,0.9047,5.484,0.16497082421590079,46,-5267.204094,49.0,0.9557,5.9286,0.16807,0.1316,0.003,0.0178,0.1681,0.147,1.117,0.1316,0.8056,4.7941,0.16803988235539516,46.0,0.7817979999999807,0.3765918109718963,True,False
ENSG00000112306,ok,not_requested,ok,15,137,105.0,0.0071,0.786,0.009,0.0053474358974358975,0.2884974358974359,0.0,78.0,-1340.132076,30,0.01333,2.40632,1.879307,0.0287,2.1511,0.0002,0.0182,0.0133,0.0021,0.1559,0.0133,0.0263,1.977,0.013302984319676277,28,-1338.515632,31.0,0.0288,2.163,0.01641,0.0001,0.0003,0.018,0.0164,0.0,0.4085,0.0001,0.0285,1.7362,0.016415159543831357,28.0,3.2328880000000026,0.07217330613972302,True,False
ENSG00000112320,ok,not_requested,ok,21,868,210.0,0.0694,0.5751,0.1208,0.014508771929824561,0.20810350877192982,0.052,171.0,-12272.947542,42,0.10284,1.92179,2.942904,0.3087,3.0018,0.0009,0.0085,0.1028,0.0232,0.2251,0.1028,0.2848,2.7683,0.10287902322725138,40,-12267.648923,43.0,0.3093,2.9424,0.09423,0.14774,0.0008,0.0086,0.0942,0.0885,0.5992,0.1477,0.22,2.3346,0.0942345583825923,40.0,10.59723799999847,0.0011325672293487996,True,False
ENSG00000112874,ok,not_requested,ok,24,461,276.0,0.1058,0.9725,0.1088,0.04835930735930736,0.37046753246753245,0.1266,231.0,-8133.41613,48,0.133,2.86243,3.858072,0.4835,3.6352,0.002,0.015,0.133,0.0288,0.2165,0.133,0.4527,3.4039,0.13299450630159523,46,-8133.274337,49.0,0.4832,3.6461,0.1347,0.12005,0.002,0.0149,0.1347,0.0646,0.5384,0.12,0.4167,3.0928,0.1347322814278324,46.0,0.28358599999955914,0.5943604003528575,True,False
ENSG00000113558,ok,not_requested,ok,17,147,136.0,-0.0,0.5994,0.0,0.027345714285714286,0.27021428571428574,0.0845,105.0,-1917.029326,34,0.0846,1.72654,2.425993,0.2266,2.6791,0.0,0.0,0.0846,0.0227,0.2683,0.0846,0.2038,2.4109,0.08453274710688956,32,-1903.254131,35.0,0.2273,2.8481,0.10409,0.0001,0.0,0.0,0.1041,0.0001,0.6654,0.0001,0.2273,2.1825,0.10414662084765178,32.0,27.550390000000334,1.530545049373784e-07,True,False
ENSG00000113569,ok,not_requested,ok,24,1390,276.0,0.0564,1.1731,0.0481,0.02515974025974026,0.3960917748917749,0.0591,231.0,-22974.376911,48,0.06467,2.97913,3.63212,0.2502,3.8688,0.0004,0.0063,0.0647,0.024,0.3708,0.0647,0.2258,3.4916,0.06466949249627678,46,-22971.086728,49.0,0.2493,3.8996,0.06733,0.0001,0.0004,0.0063,0.0673,0.0,0.1965,0.0001,0.2488,3.6967,0.06730327048448616,46.0,6.580366000001959,0.010310968924282161,True,False
ENSG00000113595,ok,not_requested,ok,23,571,253.0,0.0732,1.7201,0.0425,0.019211904761904763,0.3524147619047619,0.03795,210.0,-8481.284976,46,0.05297,2.41995,3.578934,0.214,4.039,0.0004,0.0083,0.053,0.0513,0.9688,0.053,0.1619,3.0618,0.052877392383565223,44,-8481.283495,47.0,0.2141,4.0361,0.05289,0.09908,0.0004,0.0083,0.0529,0.0014,0.0136,0.0991,0.2122,4.0139,0.052866289643488884,44.0,0.002962000002298737,0.9565971513537082,True,False
ENSG00000113621,ok,not_requested,ok,23,346,253.0,0.2173,1.1343,0.1916,0.1086252380952381,0.6483514285714286,0.16515000000000002,210.0,-9413.34699,46,0.21922,2.1511,6.967507,1.1636,5.3079,0.0015,0.0068,0.2192,0.0122,0.0556,0.2192,1.1498,5.2452,0.21920994433005414,44,-9413.007674,47.0,1.1626,5.3348,0.22184,0.0001,0.0015,0.0068,0.2218,0.0,0.0943,0.0001,1.1607,5.2342,0.22175308547629055,44.0,0.6786319999991974,0.4100581883360873,True,False
ENSG00000113734,ok,not_requested,ok,21,217,210.0,0.0919,0.9941,0.0924,0.048503508771929826,0.4752789473684211,0.0748,171.0,-4573.691512,42,0.14656,1.8276,5.110428,0.7007,4.781,0.0006,0.0043,0.1466,0.0417,0.2843,0.1466,0.6581,4.4925,0.14648859209794102,40,-4573.691513,43.0,0.7007,4.781,0.14656,0.28674,0.0006,0.0043,0.1466,0.0,0.0,0.2867,0.6997,4.7768,0.14647881426896667,40.0,-1.999998858082108e-06,1.0,True,False
